"No.","Time","Source","PHY","Protocol","Length","Delta time (\302\265s end to start)","SN","NESN","More Data","Event counter"
"558","0.570","d0:44:40:ce:9d:86","LE 1M","LE LL","14","8066\302\265s","","","","0"
"559","0.570","d0:44:40:ce:9d:86","LE 1M","LE LL","14","131\302\265s","","","","0"
"560","0.572","d0:44:40:ce:9d:86","LE 1M","LE LL","14","132\302\265s","","","","0"
"561","0.573","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","1434\302\265s","","","","0"
"562","0.573","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"563","0.574","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"573","0.586","59:51:34:3a:99:17","LE 1M","LE LL","21","1978\302\265s","","","","0"
"574","0.588","59:51:34:3a:99:17","LE 1M","LE LL","21","743\302\265s","","","","0"
"575","0.589","59:51:34:3a:99:17","LE 1M","LE LL","21","356\302\265s","","","","0"
"577","0.590","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","2331\302\265s","","","","0"
"578","0.590","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"588","0.597","7c:86:33:7b:0b:6d","LE 1M","LE LL","23","1542\302\265s","","","","0"
"589","0.598","7c:86:33:7b:0b:6d","LE 1M","LE LL","23","737\302\265s","","","","0"
"590","0.598","7c:86:33:7b:0b:6d","LE 1M","LE LL","23","368\302\265s","","","","0"
"591","0.599","7d:1c:43:f0:f1:ab","LE 1M","LE LL","20","1628\302\265s","","","","0"
"592","0.600","55:01:2a:98:35:1d","LE 1M","LE LL","23","6151\302\265s","","","","0"
"593","0.601","55:01:2a:98:35:1d","LE 1M","LE LL","23","517\302\265s","","","","0"
"594","0.601","55:01:2a:98:35:1d","LE 1M","LE LL","23","518\302\265s","","","","0"
"597","0.603","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","943\302\265s","","","","0"
"598","0.603","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"599","0.604","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","237\302\265s","","","","0"
"612","0.612","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","7341\302\265s","","","","0"
"613","0.613","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"614","0.614","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"627","0.622","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","651\302\265s","","","","0"
"628","0.623","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"629","0.623","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"633","0.626","6e:e6:98:c6:1f:fc","LE 1M","LE LL","23","1754\302\265s","","","","0"
"634","0.626","6e:e6:98:c6:1f:fc","LE 1M","LE LL","23","736\302\265s","","","","0"
"635","0.628","6e:e6:98:c6:1f:fc","LE 1M","LE LL","23","368\302\265s","","","","0"
"636","0.628","16:79:cc:6c:ea:aa","LE 1M","LE LL","36","7336\302\265s","","","","0"
"637","0.629","16:79:cc:6c:ea:aa","LE 1M","LE LL","36","136\302\265s","","","","0"
"639","0.630","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","1002\302\265s","","","","0"
"640","0.631","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","239\302\265s","","","","0"
"641","0.631","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"645","0.635","7e:c0:d2:57:a4:a9","LE 1M","LE LL","25","9792\302\265s","","","","0"
"646","0.636","7e:c0:d2:57:a4:a9","LE 1M","LE LL","25","904\302\265s","","","","0"
"647","0.636","7e:c0:d2:57:a4:a9","LE 1M","LE LL","25","368\302\265s","","","","0"
"651","0.639","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","1565\302\265s","","","","0"
"652","0.639","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"653","0.640","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"666","0.651","59:51:34:3a:99:17","LE 1M","LE LL","21","6997\302\265s","","","","0"
"667","0.651","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","395\302\265s","","","","0"
"668","0.652","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"669","0.652","7c:89:95:02:84:47","LE 1M","LE LL","24","9223\302\265s","","","","0"
"670","0.653","7c:89:95:02:84:47","LE 1M","LE LL","24","736\302\265s","","","","0"
"671","0.654","7c:89:95:02:84:47","LE 1M","LE LL","24","368\302\265s","","","","0"
"678","0.660","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","1275\302\265s","","","","0"
"679","0.660","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"680","0.662","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"685","0.665","7d:1c:43:f0:f1:ab","LE 1M","LE LL","20","132\302\265s","","","","0"
"686","0.666","7d:1c:43:f0:f1:ab","LE 1M","LE LL","20","363\302\265s","","","","0"
"692","0.671","55:01:2a:98:35:1d","LE 1M","LE LL","23","6702\302\265s","","","","0"
"693","0.671","55:01:2a:98:35:1d","LE 1M","LE LL","23","518\302\265s","","","","0"
"694","0.672","16:79:cc:6c:ea:aa","LE 1M","LE LL","36","1888\302\265s","","","","0"
"705","0.679","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","1871\302\265s","","","","0"
"706","0.679","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"707","0.680","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"723","0.690","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","3578\302\265s","","","","0"
"724","0.691","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"725","0.691","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"729","0.694","7c:86:33:7b:0b:6d","LE 1M","LE LL","23","1264\302\265s","","","","0"
"730","0.694","7c:86:33:7b:0b:6d","LE 1M","LE LL","23","737\302\265s","","","","0"
"731","0.695","7c:86:33:7b:0b:6d","LE 1M","LE LL","23","368\302\265s","","","","0"
"735","0.698","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","648\302\265s","","","","0"
"736","0.699","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
