"No.","Time","Source","PHY","Protocol","Length","Delta time (\302\265s end to start)","SN","NESN","More Data","Event counter"
"2021","1.673","7c:89:95:02:84:47","LE 1M","LE LL","24","368\302\265s","","","","0"
"2022","1.674","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","857\302\265s","","","","0"
"2023","1.674","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"2024","1.676","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"2025","1.677","14:14:25:76:4d:47","LE 1M","LE LL","37","2605\302\265s","","","","0"
"2026","1.677","14:14:25:76:4d:47","LE 1M","LE LL","37","180\302\265s","","","","0"
"2027","1.678","14:14:25:76:4d:47","LE 1M","LE LL","37","179\302\265s","","","","0"
"2028","1.679","SamsungE_1e:32:63","LE 1M","LE LL","37","2034\302\265s","","","","0"
"2029","1.679","06:94:a3:57:80:5b","LE 1M","LE LL","37","2147\302\265s","","","","0"
"2030","1.680","06:94:a3:57:80:5b","LE 1M","LE LL","37","178\302\265s","","","","0"
"2031","1.680","7e:c0:d2:57:a4:a9","LE 1M","LE LL","25","973\302\265s","","","","0"
"2032","1.681","7e:c0:d2:57:a4:a9","LE 1M","LE LL","25","904\302\265s","","","","0"
"2033","1.681","7e:c0:d2:57:a4:a9","LE 1M","LE LL","25","368\302\265s","","","","0"
"2034","1.682","7d:1c:43:f0:f1:ab","LE 1M","LE LL","20","4134\302\265s","","","","0"
"2035","1.683","ec:d4:18:8a:ae:b0","LE 1M","LE LL","14","4653\302\265s","","","","0"
"2036","1.684","ec:d4:18:8a:ae:b0","LE 1M","LE LL","14","132\302\265s","","","","0"
"2037","1.685","SamsungE_1e:32:63","LE 1M","LE LL","37","3920\302\265s","","","","0"
"2038","1.685","SamsungE_1e:32:63","LE 1M","LE LL","37","561\302\265s","","","","0"
"2039","1.686","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","2369\302\265s","","","","0"
"2040","1.686","4d:be:63:3e:45:54","LE 1M","LE LL","25","8991\302\265s","","","","0"
"2041","1.687","4d:be:63:3e:45:54","LE 1M","LE LL","25","737\302\265s","","","","0"
